Rank,Root Domain,Linking Root Domains,Domain Authority
367,ted.com,"617,096",93
368,google.ca,"336,723",93
369,harvard.edu,"723,325",93
370,playstation.com,"231,907",93
371,yahoo.co.jp,"645,154",93
372,ca.gov,"476,502",93
373,theverge.com,"382,202",93
374,kickstarter.com,"469,418",93
375,googleblog.com,"260,438",93
376,npr.org,"806,375",93
377,huawei.com,"1,873,822",93
378,ovh.com,"490,646",93
379,about.com,"759,002",93
380,groups.google.com,"341,328",93
381,mozilla.com,"204,203",93
382,sky.com,"220,473",93
383,instructables.com,"335,177",93
384,dailystar.co.uk,"130,984",93
385,variety.com,"273,411",93
386,psychologytoday.com,"359,527",93
387,latimes.com,"718,958",93
388,steampowered.com,"266,417",93
389,www.livejournal.com,"3,002,105",92
390,wisc.edu,"298,982",92
391,dreniq.com,"272,189",92
392,so-net.ne.jp,"171,642",92
393,rottentomatoes.com,"242,472",92
394,bund.de,"512,414",92
395,venturebeat.com,"223,102",92
396,thedailybeast.com,"258,706",92
397,corriere.it,"174,167",92
398,amazon.in,"183,956",92
399,prnewswire.com,"409,313",92
400,xing.com,"465,201",92
401,zdnet.com,"289,904",92
402,tabelog.com,"148,946",92
403,noaa.gov,"323,028",92
404,airbnb.com,"208,068",92
405,about.me,"357,981",92
406,answers.com,"250,409",92
407,twimg.com,"617,76",92
408,steamcommunity.com,"195,068",92
409,nokia.com,"168,127",92
410,unsplash.com,"506,993",92
411,wiktionary.org,"298,391",92
412,dictionary.com,"321,809",92
413,mystrikingly.com,"343,201",92
414,narod.ru,"274,241",92
415,dribbble.com,"583,131",92
416,focus.de,"143,126",92
417,tes.com,"411,251",92
418,etsy.com,"1,725,454",92
419,sagepub.com,"321,656",92
420,faz.net,"171,409",92
421,mysql.com,"410,618",92
422,stuff.co.nz,"174,854",92
423,cisco.com,"234,065",92
424,adweek.com,"197,821",92
425,canva.com,"230,281",92
426,legifrance.gouv.fr,"127,076",92
427,theconversation.com,"299,517",92
428,mailchimp.com,"363,081",92
429,newscientist.com,"224,038",92
430,oecd.org,"195,96",92
431,iubenda.com,"216,591",92
432,greenpeace.org,"187,634",92
433,000webhost.com,"269,109",92
434,usgs.gov,"227,954",92
435,udemy.com,"182,272",92
436,orange.fr,"180,393",92
437,excite.co.jp,"491,973",92
438,ndtv.com,"197,971",92
439,espn.go.com,"256,775",92
440,ubuntu.com,"223,424",92
441,amazon.ca,"224,534",92
442,qz.com,"238,82",92
443,goal.com,"127,788",92
444,timeout.com,"180,493",92
445,pnas.org,"216,368",92
446,kakao.com,"130,925",92
447,softonic.com,"152,193",92
448,medicalnewstoday.com,"262,834",92
449,parallels.com,"552,771",92
450,offset.com,"1,243,470",92
451,usc.edu,"221,37",92
452,fifa.com,"165,559",92
453,windowsphone.com,"121,646",92
454,jhu.edu,"232,631",92
455,searchenginejournal.com,"279,309",92
456,psu.edu,"310,275",92
457,linktr.ee,"299,172",92
458,scientificamerican.com,"315,919",92
459,gfycat.com,"126,583",92
460,marriott.com,"368,443",92
461,windows.net,"310,768",92
462,ieee.org,"225,016",92
463,behance.net,"841,254",92
464,marketwatch.com,"355,822",92
465,okezone.com,"140,655",92
466,dot.tk,"9,808,055",92
467,ebay.de,"127,691",92
468,blog.fc2.com,"373,741",92
469,pewresearch.org,"274,487",92
470,investopedia.com,"304,877",92
471,naver.jp,"137,332",92
472,imgur.com,"1,353,102",92
473,weather.com,"225,517",92
474,thefreedictionary.com,"245,713",92
475,gettyimages.com,"324,882",92
476,over-blog-kiwi.com,"205,644",92
477,giphy.com,"418,297",92
478,g.co,"140,874",92
479,wn.com,"213,623",92
480,entrepreneur.com,"280,749",92
481,umich.edu,"337,361",92
482,bustle.com,"175,167",92
483,intel.com,"244,547",92
484,cam.ac.uk,"230,333",92
485,house.gov,"280,182",92
486,usda.gov,"387,699",92
487,eonline.com,"243,805",92
488,ads.google.com,"146,771",92
489,cbslocal.com,"343,967",92
490,dell.com,"237,219",92
491,weforum.org,"210,41",92
492,rambler.ru,"428,722",92
493,e-recht24.de,"467,902",92
494,goo.ne.jp,"320,164",92
495,redbull.com,"147,942",92
496,scholastic.com,"186,867",92
497,bp0.blogger.com,"550,744",92
498,salon.com,"272,534",92
499,public-api.wordpress.com,"195,608",92
500,arstechnica.com,"244,548",92
